Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.981570005,0.96687001,0.969399989,0.947759986,0.931500018,0.923409998,0.938030005,0.955470026,0.956110001,0.960789979,0.971279979,0.986959994,0.971710026,1.025079966,0.978100002,0.968640029,,,,,,
Africa Eastern and Southern,AFE,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,,,,,,,,,,,0.169190004,0.164529994,0.168249995,0.175960004,0.174669996,0.183080003,0.189060003,0.198269993,0.204669997,,0.229980007,0.237020001,0.502849996,,0.474640012,0.485430002,0.543280005,,0.501929998,0.528739989,0.548500001,0.547879994,,0.353069991,0.505800009,0.515049994,,,,0.084899999,0,0,0.456930012,0.56220001,0.432819992,0.583339989,0.623570025,0.613789976,0.636420012,0.657500029,0.679809988,0.712580025,0.720260024,0.702859998,0.698249996,0.680809975,0.679369986,0.676169991,0.666909993,0.671689987,
Africa Western and Central,AFW,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,0.620109975,0.63191998,,,,,,,,,,0.870000005,0.826860011,,,0.817480028,0.814400017,0.795099974,0.832369983,0.91346997,0.913450003,0.858630002,,,,,,0.827970028,,,,,,,,,,0.845690012,0.836049974,0.799430013,0.629220009,,,,0.874130011,,,,,
Albania,ALB,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,,,,,,0.944859982,,0.955869973,0.955630004,0.967570007,0.964119971,0.972299993,0.988390028,0.972959995,0.984440029,0.991509974,0.976859987,1.009660006,1.006039977,1.004590034,1.003980041,1.016420007,1.034970045,0.987640023,0.968670011,0.973850012,0.966279984,0.969470024,0.981459975,0.997169971,1.015390038,0.994340003,1.009439945,1.013499975,1.005360007,1.008440018,1.007760048,1.002490044,0.997179985,1.006420016,1.015570045,1.016010046,1.022210002,1.036820054,1.031299949,1.035549998,1.032240033,1.037649989,1.029629946,1.027459979
Andorra,AND,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,,,,,1.07822001,,,,,,,,0.962189972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,,,,,,,,,,,0.647889972,0.646149993,0.65170002,0.658909976,0.665579975,0.672890007,0.679750025,0.689970016,0.700869977,0.726610005,0.740880013,0.753549993,0.762960017,0.768249989,0.774420023,0.783580005,0.792869985,0.801419973,0.799870014,0.811720014,0.817569971,0.818019986,0.828450024,0.83415997,0.836149991,0.846480012,0.819519997,0.849849999,0.857620001,0.865660012,0.874319971,0.884840012,0.891240001,0.897440016,0.901790023,0.905860007,0.906989992,0.908940017,0.914990008,0.919290006,0.922900021,0.918039978,0.929440022,0.930890024,0.936680019,0.940949976,0.941330016,0.944519997,0.945349991,0.948260009,
United Arab Emirates,ARE,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,0.68550998,0.664799988,0.731830001,0.796010017,0.837109983,0.90042001,0.941630006,0.967079997,0.988510013,0.977590024,0.956139982,0.955910027,0.954850018,0.954509974,0.953130007,0.969089985,0.958440006,0.948530018,0.946569979,0.951390028,0.961560011,0.97003001,0.985319972,0.983009994,0.979330003,0.986679971,0.981519997,0.990180016,,,,,,,,,1.009549975,,,,,1.01857996,1.027819991,1.018740058,1.001739979,0.964519978,0.980929971,,1.001989961,1.009430051
Argentina,ARG,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,,,,,,,,,,,1.00583005,0.999480009,0.990670025,0.991540015,0.984629989,0.985339999,0.985189974,0.988460004,1.00229001,0.989629984,0.990549982,0.986519992,0.98168999,,0.987360001,0.994040012,0.982379973,0.991949975,1.04460001,,0.983500004,0.98496002,,,,,0.98439002,0.994459987,0.985450029,0.996399999,0.991039991,0.992370009,0.993120015,0.992860019,0.991110027,0.990620017,0.994090021,0.997009993,0.995930016,0.99545002,0.987410009,0.988240004,0.98822999,0.991569996,0.997940004,0.998809993,0.997640014,0.997969985,1.001019955,1.001929998,
