Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.1017856,82.1427487,82.24692605,82.41412601,82.64299706,83.09109234,83.44292183,83.76127154,84.01762441,84.30762403,84.55132695,84.73069053,84.99459766,85.26991604,85.52004175,85.72096121,85.83922733,85.83037078,85.80222963,85.74125289,85.65512546,85.68337827,85.55269023,85.63916841,85.69594227,85.88220251,86.12954498,86.53878031,86.92944117,87.30131621,
Afghanistan,AFG,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35320869,19.44093094,19.50848746,19.53045685,19.53452881,19.61484505,19.40089229,19.1925624,19.04822497,18.94469167,18.86672596,19.04701398,19.2908883,19.54008385,19.7968254,20.02283974,19.7515213,19.48315176,19.27558257,19.17617237,19.21513843,19.67129571,20.26595065,21.62754707,23.07792377,24.61942257,26.28510864,28.05726519,28.6250335,29.20021471,
Africa Western and Central,AFW,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.36070221,80.33370717,80.39874007,80.51228941,80.72183697,81.01523579,81.15847116,81.35101743,81.59048374,81.83912315,82.14381062,82.17757458,82.37321125,82.47104926,82.59388068,82.68378867,82.59480395,82.64736805,82.59882556,82.59178089,82.60729512,82.53590979,82.15442855,81.87354407,81.77456858,81.80214366,81.76157061,81.13821897,80.53883582,80.04885579,
Angola,AGO,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.85128718,94.74144392,94.56155669,94.20974155,94.21785625,94.4007981,94.50480829,94.63414634,94.7876206,94.92908247,95.10630268,95.16555458,95.33064109,95.42582765,95.60536981,95.82328298,95.87406373,95.97358059,96.04928862,96.02943042,96.06948143,95.97621157,96.00404654,96.03134479,96.09453994,96.1572494,96.18349551,96.28177564,96.39149152,96.56178635,
Albania,ALB,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.98190045,77.40316562,78.14060699,77.08576619,76.2593713,75.07047926,73.99431126,74.85988791,73.86210611,72.63042884,71.95205951,71.34069621,71.07940096,71.10632184,71.21544537,71.42431466,71.72727273,72.10842446,72.48122653,70.09345794,72.76196534,78.61915367,73.35561294,70.526823,68.2946104,71.07208872,73.88495847,71.62426614,74.49189985,77.13907674,
Andorra,AND,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.04244588,26.17987446,26.10664638,26.33870632,26.82115251,26.95451708,26.96858891,26.82433773,26.81606297,27.3921177,27.58535942,27.81777978,27.3908815,27.82729093,28.12393418,28.40625458,28.84036022,29.68337652,29.3760849,29.85142888,30.00400908,30.15048983,30.49323443,30.87496253,31.08101546,31.35289896,31.83447502,31.54699397,30.53888215,30.55488049,
United Arab Emirates,ARE,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.19520586,32.05370021,32.68486791,33.42847733,33.70798778,33.94833948,34.60021906,35.23452984,35.83700441,36.41053787,36.93585401,37.63914912,38.31125828,38.96460761,39.62058439,40.26128266,41.82906913,43.17391304,44.40250216,45.58164354,46.74131193,48.02074513,49.3691019,50.75323573,52.13521246,53.44955098,54.71959136,56.20586347,56.08527962,55.71612075,
Argentina,ARG,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.57836847,60.75134638,61.9361646,63.21504237,64.22115896,64.13130504,65.04075905,66.1990648,66.81799973,66.47985055,66.41791045,65.97842014,64.62276726,65.59468439,66.6180758,65.74344023,66.42374453,65.70512821,65.00605897,65.93051441,64.83234181,65.06137866,65.53641666,65.18014956,64.71553611,65.75379981,66.82217344,67.88120445,69.79810466,70.6092697,
