Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.35459453,15.26129839,15.24724166,15.22183651,15.27950312,15.63508869,15.56018226,15.52987769,15.55057921,15.53164007,15.67290935,15.35614097,15.34250024,15.75367527,15.69266089,15.96004928,16.60746128,17.56687508,17.48825964,17.74447093,18.4374423,19.03660427,19.58704219,20.16706997,20.56096649,20.84575084,21.20692026,21.70781754,21.84697027,
Afghanistan,AFG,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.450000048,1.450000048,1.409999967,1.360000014,1.350000024,1.330000043,1.309999943,1.299999952,1.269999981,1.24000001,1.200000048,1.279999971,1.360000014,1.399999976,1.480000019,1.539999962,1.629999995,1.700000048,2.049999952,2.450000048,2.869999886,3.420000076,4.090000153,4.800000191,5.570000172,6.46999979,7.550000191,7.869999886,8.210000038,
Africa Western and Central,AFW,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.662265725,6.682753602,6.616540793,6.620081584,6.772554467,6.870696689,6.95811989,6.824654998,7.019205997,7.448062203,7.447546551,7.50584449,7.92810881,8.415123727,8.769037935,9.026525745,9.294423417,9.723670974,9.855737353,10.66559403,11.51290107,11.60184338,11.32313348,11.50244281,11.34786915,11.40456284,12.12679809,12.76731212,13.22913578,
Angola,AGO,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.48999977,18.23999977,18.42000008,19.76000023,19.65999985,19.97999954,19.70000076,19.56999969,21.85000038,22.34000015,22.07999992,21.60000038,21.63999939,22.47999954,22.69000053,21.73999977,21.45999908,20.69000053,17.17000008,17.13999939,16.47999954,16.18000031,15.27999973,14.35000038,13.60999966,13.43999958,13.06999969,12.72000027,12.68000031,
Albania,ALB,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74000168,38.56000137,38.93000031,39.34000015,40.36999893,40.81000137,36.84999847,37.33000183,38.72999954,39.34999847,40.61000061,40.56000137,40.93999863,41.22000122,40.70000076,41.68000031,41.93999863,32.77999878,34.77000046,36.95000076,34.72000122,31.97999954,37.08000183,41.27999878,42.70999908,43.25999832,45.06999969,47.02000046,47.86999893,
Andorra,AND,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.58585793,46.96408249,47.29202969,47.31467999,49.07426564,49.5720805,50.19641936,51.74428931,52.91909551,51.66156166,54.24091365,55.73696418,53.78388312,52.16990253,53.28724915,55.01775742,54.15167322,55.82320988,56.45178219,57.4471344,58.81974115,60.60812009,60.27698287,60.65506216,61.9292179,66.29862706,65.76994785,66.55065087,67.41917135,
United Arab Emirates,ARE,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.87000275,98.87000275,98.87000275,98.87000275,98.87000275,98.87000275,98.87000275,98.87000275,98.86000061,98.84999847,98.84999847,98.84999847,98.84999847,98.83000183,98.73999786,98.86000061,98.98000336,99.05999756,99.04000092,98.98999786,98.91000366,98.86000061,98.80999756,98.76000214,98.75,98.69000244,97.51000214,96.26000214,94.37999725,
Argentina,ARG,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.40000153,72.48999786,71.26000214,72.09999847,74.87000275,74.30999756,75.01000214,75.48999786,75.84999847,76.38999939,76.11000061,78.08999634,78.76999664,78.95999908,79.43000031,80.19999695,80.90000153,80.79000092,80.12000275,80.62999725,81.29000092,81.26000214,80.87000275,80.51000214,79.94999695,79.16999817,78.55000305,77.43000031,76.59999847,
