,STATE/UT,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,latitude,longitde
0,A & N ISLANDS,282,188,18,510,96,270,0,22.312927,114.0429595
1,A&N ISLANDS,54,24,2,90,16,18,0,22.312927,114.0429595
2,ANDHRA PRADESH,32150,34504,13844,126952,86964,280906,34,15.9240905,80.1863809
3,ARUNACHAL PRADESH,1316,1470,6,1996,48,476,0,28.0937702,94.5921326
4,ASSAM,40190,62074,3268,38256,254,115300,22,26.4073841,93.2551303
5,BIHAR,30758,57086,32206,16958,694,69770,904,25.6440845,85.906508
6,CHANDIGARH,770,1682,90,1088,342,2080,0,30.7334421,76.7797143
7,CHHATTISGARH,29308,11808,2758,47096,3968,23436,12,21.6637359,81.8406351
8,D & N HAVELI,112,188,2,100,8,76,0,51.4187666,7.3376271
9,D&N HAVELI,20,36,0,6,4,14,0,51.4187666,7.3376271
10,DAMAN & DIU,60,44,6,40,4,76,0,20.42000485,72.86376290300566
11,DELHI,12848,31300,3164,15068,3374,30422,2,28.6517178,77.2219388
12,DELHI UT,7464,15286,594,15674,4554,12412,0,40.5546472,-111.9797244
13,GOA,1062,640,38,1384,468,532,0,15.3503192,74.10178169795284
14,GUJARAT,11644,34670,1108,23186,3230,146468,0,22.3850051,71.745261
15,HARYANA,17110,20016,7372,17142,17866,68414,4,29.0,76.0
16,HIMACHAL PRADESH,4674,4116,112,9256,1220,7796,0,31.81676015,77.34932051968858
17,JAMMU & KASHMIR,7038,21164,294,28638,9168,5390,0,32.7185614,74.8580917
18,JHARKHAND,22826,14186,7896,9898,566,23910,298,23.6577621,85.16910512430167
19,KARNATAKA,15056,16262,7016,65750,2276,72706,94,14.5203896,75.7223521
20,KERALA,20030,4452,700,80438,7930,111626,0,10.3528744,76.5120396
21,LAKSHADWEEP,20,2,0,14,4,14,0,10.8132489,73.6804620941119
22,MADHYA PRADESH,90996,35608,21090,195478,20964,102816,134,23.8143419,77.5340719
23,MAHARASHTRA,48974,30368,9696,114704,32634,193202,6,18.9068356,75.6741579
24,MANIPUR,1068,2606,6,1322,6,578,0,24.7208818,93.9229386
25,MEGHALAYA,2642,670,36,1470,124,460,8,25.5379432,91.2999102
26,MIZORAM,2070,30,8,1988,70,134,6,23.2146169,92.8687612
27,NAGALAND,562,190,2,260,24,32,2,26.1630556,94.5884911
28,ODISHA,30480,25588,10782,80214,7488,49206,36,20.5431241,84.6897321
29,PUDUCHERRY,208,306,56,1314,600,234,0,11.9340568,79.8306447
30,PUNJAB,14656,15096,3524,12410,1728,30840,4,30.9293211,75.5004841
31,RAJASTHAN,45684,66278,11854,83362,794,262200,14,26.8105777,73.7684549
32,SIKKIM,570,180,4,586,34,108,0,27.601029,88.45413638680145
33,TAMIL NADU,16660,30908,5060,43404,21170,45524,30,10.9094334,78.3665347
34,TELANGANA,1958,1422,578,6376,2284,12738,0,17.8495919,79.1151663
35,TRIPURA,5060,2202,752,7344,114,16086,0,23.7750823,91.7025091
36,UTTAR PRADESH,51150,135906,57256,91212,53130,193738,6,27.1303344,80.859666
37,UTTARAKHAND,3752,6484,1974,4366,3190,9756,2,30.0417376,79.089691
38,WEST BENGAL,47876,61158,12308,66908,5348,344124,254,22.9964948,87.6855882
