Country Name,Country Code,Indicator Name,Indicator Code,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,97.07135773,,,,,,,,,,96.71977997,,,,,,,,97.81268311,,
Africa Eastern and Southern,AFE,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,4.987460136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.01783943,,,,,,,,,
Africa Western and Central,AFW,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,54.19448853,,,,,,,,,,,,,53.4072113,,,,,,
Albania,ALB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,98.25227356,,,,,,,94.68180847,,,95.69148254,96.13607025,,,,,,97.76112366,,
Andorra,AND,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,30.32222939,30.78926086,31.33377075,31.94252014,32.59526062,33.40364075,33.85634995,34.84444046,35.72111893,36.68003845,37.53049088,38.59246063,39.62969971,40.73368073,41.93894958,43.12672043,43.41931152,44.56912994,45.68162918,47.51374817,48.4502182,49.87384033,51.21184921,52.73535919,53.82067108,55.24858856,57.60602951,58.9168396,58.81216812,58.69216919,59.10821915,60.44631958,58.96981812,60.23765182,62.43844986,66.09427643,65.23873138,67.73674774,65.56703949,67.35148621,68.65435791,65.53031921,65.85761261,66.19689941
United Arab Emirates,ARE,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,38.1248703,,,,,,,,,,68.66127777,,,,,,,,,,,,,,,,,,,,91.4747467,,,,,,,,,,,,,,96.86031342,
Argentina,ARG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,93.58088684,,,,,,,,,,,95.91699982,,,,,,,,,,97.19341278,,,,,98.51077271,,,99.00176239,98.92807007,98.99983978,99.0999527,99.09120941,98.93282318,99.20877075,99.14309692,,99.06204224,,
Armenia,ARM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,98.15013885,,,,,,,,,,,,99.16107178,,,,,,,,,,99.69035339,,,,,,99.67716217,,,99.74450684
American Samoa,ASM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,97.21990967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,99.41999817,,,,,,,,,,99.41999817,,,,99.41999817,,,,,
Australia,AUS,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,98.1747818,,,,,,,,99.38394165,,99.68215179,99.69262695,99.70496368,99.70285797,99.71681976,99.7196579,99.7171402,99.71955109,99.72199249,,99.72675323,
Burundi,BDI,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,11.9835701,,,,,,,,,,,27.52930069,,,,,,,,,,52.23775864,,,,,,,,43.15718842,,,,,,54.64165878,,,61.22369003,,,
Belgium,BEL,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,9.538960457,,,,,,,,,,,,,16.5651207,,,,,,,,,,23.30014038,,,,18.44290924,,,,,,22.0938797,,,,,,31.07164955,,
Burkina Faso,BFA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,3.390589952,,,,,,,,,,,,,,,,8.225429535,,,,,8.057979584,,,,,,,15.18877029,,16.62224007,16.29113007,21.02721977,,,,,,,26.22024918,,,,31.04408073,,
Bangladesh,BGD,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,17.9716301,,,,,,,,,,25.83897972,,,,,,,,,,40.823349,,,,,,43.74084854,,,,55.11943817,54.23603821,57.78900146,57.8609314,62.25299072,69.89720917,70.08570099,71.18193817,71.94838715,72.00478363
Bulgaria,BGR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,97.70648956,,,,,,,,,,97.98390198,,,,,,,,,
Bahrain,BHR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,58.59109116,,,,,,,,,,76.93231964,,,,,,,,,,83.55741882,,,,,,,,,89.01043701,,,,,,,,,,
"Bahamas, The",BHS,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,81.9593277,,,,,,,,,94.35993958,,,,,,,,,,,96.80371094,,94.91049194,,,,,,,
Belarus,BLR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,96.6282196,,,,,,,,,,99.41972351,,,,,,,,,,99.49398804,,,,,,,,,,99.87651062,
Belize,BLZ,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,70.32839203,,,,,,,,,77.12272644,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,51.37464905,,,,,,,,,,,,,,,,72.31321716,,,,,,,,,80.6543808,,,,,,85.98593903,86.83174896,86.82145691,,88.0802002,91.87326813,,,88.58286285,,,,,
Brazil,BRA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,72.85314941,,,,,,,,,,,,,,,,,,,,86.50005341,,,,88.80612946,,89.85559082,90.22801208,90.21955109,90.41121674,90.68170166,91.63314819,91.62490082,91.76496124,92.06051636,92.34378815,93.02120209,93.24371338,93.42507172,,
Barbados,BRB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,99.59999847,,,,,,,,,,99.59999847,,,,,,,,,,99.59999847,,,,,,,,,,99.59999847,,,,,,
Brunei Darussalam,BRN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,68.84182739,,,,,,,,,,82.46135712,,,,,,,,,,90.16155243,,,,,,,,,,94.65248108,,,,,,,96.3012619,,
Bhutan,BTN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.68066025,,,,,,,45.20450974,,,,,57.08361816,,,
Botswana,BWA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,71.29924011,,,,,,,,,,,,81.80795288,,,,,,,,,,87.45121002,,,,,,,
